location,text,visits_last_month,membership_months,classes_booked
FitZone Club,"This gym is terrible now. I will be leaving and joining Planet Fitness instead.",1,16,0
FitZone Club,"Too much waiting time for benches during busy hours.",5,9,1
FitZone Club,"Cancelled my annual membership early. This gym is a complete waste of money.",0,12,0
FitZone Club,"Trainers occasionally arrive late for sessions.",6,3,2
FitZone Club,"Not enough stretching space during group sessions.",4,5,1
FitZone Club,"Worst gym experience ever. Requesting a full refund and cancelling today.",0,11,0
FitZone Club,"Weekend crowd management needs serious improvement.",3,7,0
FitZone Club,"Machines were occupied for too long by some members.",5,8,1
FitZone Club,"Staff should pay more attention to cleanliness.",4,6,1
FitZone Club,"Overall a decent gym experience with both strengths and weaknesses.",7,10,2
Urban Strength Gym,"Affordable membership plans compared to other gyms nearby.",10,4,3
Urban Strength Gym,"Loved the cardio section and modern workout machines.",12,7,4
Urban Strength Gym,"Good place for weight training and bodybuilding workouts.",11,5,3
Urban Strength Gym,"Excellent guidance for beginners who are new to fitness.",13,3,4
Urban Strength Gym,"Great variety of equipment for strength and cardio training.",9,8,2
Urban Strength Gym,"Highly professional trainers with good fitness knowledge.",14,6,5
Urban Strength Gym,"Loved the separate functional training area.",10,9,3
Urban Strength Gym,"Excellent cleanliness standards compared to nearby gyms.",12,4,4
Urban Strength Gym,"Trainers are approachable and answer questions patiently.",11,7,3
Urban Strength Gym,"Helpful trainers and supportive workout culture.",13,5,4
Urban Strength Gym,"Excellent support during personal training sessions.",15,8,5
Urban Strength Gym,"Good gym with balanced facilities and decent pricing.",9,6,2
Urban Strength Gym,"Plenty of mirrors and lighting for workout tracking.",10,3,3
Urban Strength Gym,"Trainers helped me stay consistent with my goals.",12,10,4
Urban Strength Gym,"Affordable annual plans with decent offers.",8,11,2
Urban Strength Gym,"Friendly environment and supportive community members.",11,4,3
PowerFlex Fitness,"The changing rooms need much better maintenance and hygiene.",3,7,0
PowerFlex Fitness,"Staff at reception were rude and unhelpful sometimes.",4,5,1
PowerFlex Fitness,"Washrooms were not cleaned regularly and smelled bad.",2,9,0
PowerFlex Fitness,"I have had enough. Cancelling my membership and never coming back to this place.",0,17,0
PowerFlex Fitness,"Monthly fee feels slightly expensive for the facilities provided.",5,6,1
PowerFlex Fitness,"Water dispenser was empty several times during workouts.",6,4,2
PowerFlex Fitness,"Yoga classes felt rushed and not properly managed.",4,8,1
PowerFlex Fitness,"WiFi connection inside the gym was very poor.",5,3,1
PowerFlex Fitness,"The gym closes too early on weekends.",7,5,2
PowerFlex Fitness,"Switching to a better gym. This place does not deserve the membership fee.",1,14,0
PowerFlex Fitness,"Shower facilities require renovation and better maintenance.",3,10,0
PowerFlex Fitness,"The app for attendance tracking crashes frequently.",4,6,1
PowerFlex Fitness,"Membership prices increased without prior notice. Thinking of leaving.",2,15,0
PowerFlex Fitness,"Water leakage near washrooms created inconvenience.",5,7,1
PowerFlex Fitness,"Waiting period for new equipment upgrades is too long.",4,8,1
PowerFlex Fitness,"Reception area feels too congested during busy hours.",6,4,2
PowerFlex Fitness,"Air circulation needs improvement in the weight section.",3,9,0
PowerFlex Fitness,"Absolutely disgusted with the hygiene. Will be cancelling and filing a complaint.",0,13,0
